[ohh],127
6,121
.,89
妙啊,87
666,80
2000+,71
+,51
谢谢老师,50
1000+,47
1,46
明天考试,44
3,39
0,37
、,34
等价无穷小,32
牛逼,31
补考求过,29
求过,28
3000+,28
nb,27
-,25
加油,24
[ohhhh],24
可以,24
牛,22
6666,21
抓大头,20
爱了爱了,19
厉害,18
补考必过,18
洛必达,18
我悟了,18
还愿,17
极限,16
66666,16
大师我悟了,16
高数必过,16
\,15
悟了,15
？,15
懂了,15
女娲补天,15
谢谢老师治愈我被舍友折磨的心,14
++,14
[ohhh],14
牛啊,13
哈哈哈,13
导数与微分,13
过了来还愿,13
梦开始的地方,12
洛！,12
哈哈哈哈,11
4,11
对,11
哈哈哈哈哈哈,11
woc,11
好,10
大师，我悟了,10
请收下我的膝盖,10
1/2,10
..,10
误差,10
NB,10
太牛了,10
前来还愿,10
过过过,10
谢谢,9
有,9
洛,9
666666,9
爱了,9
[ohhhhhh],9
救命,9
开卷,9
明天考高数,9
洛就完了,9
不可以,8
哈哈哈哈哈,8
泪目,8
[OHH],8
醍醐灌顶,8
后天考试,8
卷王,8
求过求过,8
.0,7
卷起来,7
太助眠啦！！！！！！！！！！！,7
洛洛历险记,7
无穷,7
矩形,7
[OHHHH],7
三角形,7
[前方高能],7
别卷了,7
我,7
明天补考,7
补考加油,7
妙啊！,7
[ohhhhh],7
等价无穷小替换,7
牛牛牛,7
赵润康别学了,7
46个卷王,7
59个卷王,7
54个卷王,7
',6
33,6
62个卷王,6
平行四边形,6
卧槽,6
2,6
兄弟们,6
哇,6
太强了,6
老师好帅,6
好帅,6
开洛,6
啊？,6
补考,6
高数过了，前来还愿,6
洛必达法则,6
高数已过，前来还愿,6
来还愿了,6
彳亍,6
妙蛙,6
谢谢老师解决了我高中以来甚至大一的疑惑,6
43个卷王,6
可以认为lim a³=e∧（ln a³）=e∧（3（ln a））=e∧（3（ln a/1））=e∧（3（a-1））,6
2026考研加油,5
大家好,5
不知道,5
讲义能下载吗,5
重要极限,5
！！！,5
...,5
e,5
+-,5
还愿还愿,5
补考过,5
0.,5
你是我的神,5
必过,5
真实,5
明天高数期末考过过，不挂科,5
66666666,5
、、,5
，,5
厉害厉害,5
指数爆炸,5
终于懂了,5
遇事不决洛必达,5
六,5
呜呜呜,5
太厉害了,5
我安徽工业大学宋浩宇实名开卷!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
太棒了,5
有人吗,5
感谢,5
48个卷王,5
63个卷王,5
47个卷王,5
许愿补考过,5
许愿,5
保佑不挂科,5
复合函数求导,5
准大一,4
-+,4
准大一报道,4
期末不挂科,4
高二报道,4
？？？,4
等,4
契约已成，食言者当受食岩之罚,4
如0,4
如零,4
妙啊妙啊,4
喵喵喵,4
对对对,4
。。。,4
洛必达！！！,4
‘,4
讲的真好,4
还有一天,4
借你吉言,4
茅塞顿开,4
太帅了,4
还有两天考试,4
41,4
简单,4
/,4
补考已过，前来还愿,4
经典的错误，标准的零分,4
豁然开朗,4
等价,4
nbnb,4
下午考试,4
牛啊牛啊,4
看过,4
懂了懂了,4
已过，前来还愿,4
来还愿,4
。,4
高数不挂,4
明天考,4
老公好帅,4
一花一世界，一叶一菩提,4
！,4
许愿不挂科,4
恍然大悟,4
不懂,4
o.0,4
】,4
[OHHHHH],4
n,4
马上考试,4
b,4
wow,4
妙,4
2000人,4
好牛,4
第二重要极限,4
谢谢老师！！！,4
3000+了,4
等价无穷小代换,4
开学考,4
吉首大学黄顺涛实名学习,4
91个卷王,4
22个卷王,4
21个卷王,4
42个卷王,4
53个卷王,4
41个卷王,4
38个卷王,4
61个卷王,4
卷王们好,4
50个卷王,4
保佑,4
保佑补考过,4
过必还愿,4
拜一拜,4
直接洛必达,4
求求,4
猴哥保佑,4
5a,4
万物皆可洛必达,4
火钳刘明,3
初一报道,3
p,3
高一报道,3
哈哈,3
准大一开卷,3
太卷了,3
困了,3
24,3
来了来了,3
60个卷王,3
93,3
都是卷王,3
啊啊啊啊啊,3
f,3
大家加油,3
好家伙,3
+1,3
开幕雷击,3
《快乐》,3
100,3
近似,3
不可以吧,3
笑死了,3
代入,3
进度条警告,3
54,3
绝了,3
啊啊啊,3
二分之一,3
一语惊醒梦中人,3
sin1,3
过了过了，来还愿,3
开始困了,3
好好好,3
·,3
洛门,3
我是权金良，我来偷学了,3
牛蛙,3
洛神赋,3
3？,3
泰勒公式,3
+++,3
],3
周长,3
哈哈哈哈哈哈哈哈哈哈哈哈,3
一花一世界,3
看不懂,3
无穷大,3
负六分之根号二,3
泰勒,3
越多误差越小,3
老师好,3
66,3
加油加油,3
补考过了，前来还愿,3
洛！！！,3
32,3
哈哈哈哈哈哈哈,3
补考能过必来还愿,3
开天辟地,3
8,3
已过还愿,3
.0.,3
加油加油加油,3
卷,3
+++++++++++++++++++,3
明天就考,3
补考过了来还愿,3
卑微补考人,3
高数已过前来还愿,3
过了，前来还愿,3
田正别卷了,3
妈妈生的,3
一可跳 二无荡,3
不信,3
6666666,3
承桑加油,3
大师我悟了！,3
高阶无穷小,3
逢考必过,3
可去间断点,3
三角形？,3
讲义在评论区,3
高数过过过,3
明天考试，加油,3
我去,3
高数过了,3
高数必过！！！,3
保佑我,3
抓小头,3
....,3
无穷小,3
我悟了 谢谢老师,3
真的牛,3
谢谢老师！,3
2000多,3
2000多人,3
是二分之一,3
2000,3
听不懂啊,3
高数必过！,3
大师,3
快乐？,3
0000000,3
洛神,3
好多人,3
太妙了,3
谢谢你,3
后天考高数,3
