啊？,143
[前方高能],98
好,67
好！,57
帝君大人我永远是您最忠诚的信徒！！！,40
胡桃已出，前来还愿,34
好！！！,27
人活着就是为了温迪！,26
人活着就是为了温迪,26
啊,25
温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪！！！！！,21
冲冲冲,19
温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪！！！！！！！！,19
帝君已出，前来还愿,18
复刻雷神,16
前来还愿,15
落叶飘零,15
神中神,14
老婆老婆,14
林尼已出，前来还愿,14
帝君大人我永远是您最忠诚的信徒,14
正片开始,13
温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪温迪！！！！！！！！！,13
好好好,12
温迪世界第一可爱！！！！！！！！！！！！！,12
巴巴托斯大人我是你最忠实的信徒！！！！,12
退坑理由,11
6,10
天动万象,10
好!,10
好！！,10
3.8前来考古,10
林尼不歪玩到关服！！！,10
林尼不歪，玩到关服,10
白嫖万岁,10
愿意！,10
《保护》,9
666,9
给宵宫加个对群吧,9
好！！！！,9
每日一遍,9
好耶,8
✞菲门✞ ,8
老婆,8
再来亿遍,8
冲刺3200w,8
为了散兵大人！！！,8
温迪，结芬！！！！！！！！！！！,8
？,7
快进到4.2我要抽水神,7
每天一遍,7
4.0前来考古,7
林尼已出，前来还愿！,7
许愿林尼，出必还愿,7
为了岩王帝君！,7
小保底不歪！玩到关服！！,7
许愿胡桃，出必还愿,7
许愿胡桃,7
这么好的二创一定会收在每周必看里叭！,7
冰浪怒涛,6
卧沙,6
许愿菲米尼,6
出必还愿,6
帅,6
曲高未必人不识，自有知音和清词,6
传送锚点00：00,6
许愿林尼，玩到关服！！！！！！,6
𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙 𒆙𒆙𒆙𒆙​,6
人活着就是为了岩王帝君！！！,6
帝君满命，前来还愿！,6
许愿胡桃，胡桃不歪，玩到下辈子！！！（撕心裂肺，给桃宝的承诺）,6
？？？,5
牛,5
哈哈哈,5
永远滴神,5
传送00:00,5
以此烈火，斩无不断！,5
许愿林尼,5
帝君不歪，玩到关服,5
胡桃不歪，玩到关服！,5
我是胡桃的狗,5
胡桃不歪，玩到关服,5
好累啊，看一下胡桃吧,5
先有雷电后有天，我影美如画中仙,5
原神，启动！,4
啊？？？,4
太帅了,4
哇哦,4
《我会保护你的》,4
好可爱,4
锦鲤！！！,4
可爱捏,4
宝宝,4
原神启动,4
神,4
帅死了,4
4.0考古,4
每周必看,4
好！！！！！！,4
太牛了,4
封神,4
dada,4
牛逼,4
林尼不歪，玩到关服！,4
龙哥！龙哥配的好棒啊,4
𒆙 𒆙 𒆙 𒆙 𒆙 𒆙 𒆙,4
此世群魔诸神并起，我虽无意逐鹿，却知苍生苦楚,4
帝君一出，玩到关服,4
帝君已出前来还愿,4
许愿胡桃，出必还愿！,4
玩原神,4
世界第一的温迪宝贝！,4
真的可以吗？,3
靖妖傩舞,3
赛诺上大号说话,3
官方教你玩种门,3
官方教你配队,3
小优菈,3
已出，还愿,3
真的可以吗,3
冰系迪卢克,3
好早,3
芒性,3
谜语人时间,3
老婆！,3
《佩伊，我会保护你》,3
寒潮将埋葬你们,3
快进到4.1,3
来了,3
坚冰！断绝深仇！,3
以此烈火，斩无不断,3
这居然是有剑鞘的？,3
美玉学姐,3
哈哈,3
卧槽,3
太绝了,3
薪炎，拔剑！,3
好帅,3
落叶飘零（不是,3
4.0版本打卡,3
好！！！！！！！！！,3
